Application order;Previous qualification;Previous qualification (grade);Mother's qualification;Father's qualification;Father's occupation;Admission grade;Displaced;Educational special needs;Debtor;Tuition fees up to date;Gender;Scholarship holder;Age at enrollment;International;Curricular units 1st sem (credited);Curricular units 1st sem (enrolled);Curricular units 1st sem (evaluations);Curricular units 1st sem (approved);Curricular units 1st sem (grade);Curricular units 1st sem (without evaluations);Curricular units 2nd sem (credited);Curricular units 2nd sem (enrolled);Curricular units 2nd sem (evaluations);Curricular units 2nd sem (approved);Curricular units 2nd sem (grade);Curricular units 2nd sem (without evaluations);Unemployment rate;Inflation rate;GDP;Target;Marital status_Other;Marital status_married;Marital status_single;Application mode_1st phase - general contingent;Application mode_2nd phase - general contingent;Application mode_3rd phase - general contingent;Application mode_Change of course;Application mode_Change of institution/course;Application mode_Holders of other higher courses;Application mode_Other;Application mode_Over 23 years old;Application mode_Technological specialization diploma holders;Application mode_Transfer;Course_33;Course_171;Course_8014;Course_9003;Course_9070;Course_9085;Course_9119;Course_9130;Course_9147;Course_9238;Course_9254;Course_9500;Course_9556;Course_9670;Course_9773;Course_9853;Course_9991;Daytime/evening attendance_0;Daytime/evening attendance_1;Nacionality_Other;Nacionality_Portuguese;Mother's occupation_Administrative staff;Mother's occupation_Farmers and Skilled Workers in Agriculture, Fisheries and Forestry;Mother's occupation_Installation and Machine Operators and Assembly Workers;Mother's occupation_Intermediate Level Technicians and Professions;Mother's occupation_Other;Mother's occupation_Other Situation;Mother's occupation_Personal Services, Security and Safety Workers and Sellers;Mother's occupation_Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers;Mother's occupation_Skilled Workers in Industry, Construction and Craftsmen;Mother's occupation_Specialists in Intellectual and Scientific Activities;Mother's occupation_Student;Mother's occupation_Unskilled Workers
5;1;122.0;19;12;Unskilled Workers;127.3;1;0;0;1;1;0;20;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;10.8;1.4;1.74;Dropout;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
1;1;160.0;1;3;Intermediate Level Technicians and Professions;142.5;1;0;0;0;1;0;19;0;0;6;6;6;6.0;0;0;6;6;6;13.833.333.333.333.300;0;13.9;-0.3;0.79;Graduate;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;1;122.0;37;37;Unskilled Workers;124.8;1;0;0;0;1;0;19;0;0;6;0;0;6.0;0;0;6;0;0;0.0;0;10.8;1.4;1.74;Dropout;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
2;1;122.0;38;37;Intermediate Level Technicians and Professions;119.6;1;0;0;1;0;0;20;0;0;6;8;6;6.0;0;0;6;10;5;12.914.285.714.285.700;0;9.4;-0.8;-3.12;Graduate;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
1;1;100.0;37;38;Unskilled Workers;141.5;0;0;0;1;0;0;45;0;0;6;9;5;6.0;0;0;6;6;6;12.666.666.666.666.600;0;13.9;-0.3;0.79;Graduate;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1;19;133.1;37;37;Skilled Workers in Industry, Construction and Craftsmen;114.8;0;0;1;1;1;0;50;0;0;5;10;5;5.0;0;0;5;17;5;11.678.571.428.571.400;5;16.2;0.3;-0.92;Graduate;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
4;1;119.0;37;37;Unskilled Workers;113.1;1;0;0;0;1;0;22;0;0;5;5;0;5.0;0;0;5;5;0;0.0;0;15.5;2.8;-4.06;Dropout;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1;1;138.0;1;19;Skilled Workers in Industry, Construction and Craftsmen;123.0;1;0;1;0;0;0;18;0;0;6;9;5;6.0;0;0;6;14;2;12.45;0;8.9;1.4;3.51;Dropout;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;1;139.0;38;19;Skilled Workers in Industry, Construction and Craftsmen;130.6;1;0;0;1;0;0;18;0;0;6;6;6;6.0;0;0;6;7;5;13.266.666.666.666.600;0;13.9;-0.3;0.79;Graduate;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
1;1;136.0;19;38;Unskilled Workers;119.3;1;0;0;1;0;1;18;0;0;8;8;7;8.0;0;0;8;8;7;13.214.285.714.285.700;0;12.7;3.7;-1.7;Graduate;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
